start_station_name,cluster,lat,lng,total_count
2112 W Peterson Ave,2,41.99117793994736,-87.6835932370614,798
63rd St Beach,2,41.780911491755376,-87.57632337961589,1262
900 W Harrison St,1,41.8747539878559,-87.64980713364243,8376
Aberdeen St & Carroll Ave,2,41.88819021386543,-87.65459161029439,7171
Aberdeen St & Jackson Blvd,2,41.87772747236323,-87.65478887789314,13889
Aberdeen St & Monroe St,2,41.880320688080694,-87.65523739046493,7956
Aberdeen St & Randolph St,2,41.884114726281084,-87.65426506547156,10738
Ada St & Washington Blvd,2,41.882829212773146,-87.66120659872365,7031
Addison Red Line,0,41.94719547735534,-87.65400264132815,515
Addison/Racine Corral,0,41.94707362477805,-87.65935083934716,1230
Addison/Sheffield SW Corral,0,41.94695367805774,-87.65440874198819,762
Addison/Wilton Corral,0,41.947385702288365,-87.65317553565598,593
Adler Planetarium,2,41.86609584247681,-87.60726862521021,13605
Albany Ave & Belmont Ave,0,41.9396410914429,-87.70526372371587,718
Albany Ave & Bloomingdale Ave,2,41.91402476598265,-87.70512698914558,4300
Albany Ave & Montrose Ave,2,41.961040752868016,-87.70586549031168,2124
Archer & Wentworth,0,41.85468712290601,-87.63085315440401,500
Archer Ave & Wentworth Ave,0,41.854687427102725,-87.6308528373172,1655
Artesian Ave & Hubbard St,1,41.88949987719427,-87.68825580712279,5302
Ashland Ave & 13th St,2,41.86523421884875,-87.66650682256308,3028
Ashland Ave & Archer Ave,0,41.839208440623686,-87.66560978983172,933
Ashland Ave & Augusta Blvd,2,41.899621693663185,-87.66841125297744,6324
Ashland Ave & Belle Plaine Ave,2,41.9557774067899,-87.66917683757906,2694
Ashland Ave & Blackhawk St,2,41.90706590288931,-87.66725159276243,7414
Ashland Ave & Chicago Ave,2,41.89595459271687,-87.6677307094312,6743
Ashland Ave & Division St,2,41.90315444663465,-87.6692036835475,10234
Ashland Ave & Grace St,2,41.950791232101224,-87.66873391853879,4742
Ashland Ave & Grand Ave,2,41.89107203883145,-87.66661574474925,4610
Ashland Ave & Lake St,0,41.88592046839131,-87.66717045941166,5111
Ashland Ave & Wellington Ave,2,41.93608302809316,-87.66980825485062,5797
Ashland Ave & Wrightwood Ave,2,41.92882973391977,-87.66850817757027,5422
Avers Ave & Belmont Ave,0,41.93940775190824,-87.72357430698177,2652
Avondale Ave & Irving Park Rd,1,41.9533936588139,-87.73200108735864,2805
Benson Ave & Church St,2,42.04821475640891,-87.68348494719478,6281
Bernard St & Elston Ave,2,41.94992281108213,-87.71394961541479,974
Bissell St & Armitage Ave,2,41.9182955629354,-87.65218332409859,1328
Bissell St & Armitage Ave*,2,41.91829976977028,-87.65218381078769,9780
Blackstone Ave & 53rd St,2,41.79961946734157,-87.5901285021809,890
Blackstone Ave & 59th St,2,41.787878101909094,-87.59046394103693,8694
Blackstone Ave & Hyde Park Blvd,2,41.80256273015145,-87.59036571613757,4107
Blue Island Ave & 18th St,0,41.857553345313356,-87.66153645824404,4905
Bosworth Ave & Howard St,2,42.01953776158436,-87.66956185013169,729
Broadway & Argyle St,2,41.97423131746025,-87.65977805530795,6277
Broadway & Barry Ave,2,41.93758489713266,-87.6440973128121,17477
Broadway & Belmont Ave,2,41.94010522174561,-87.6454527739898,12852
Broadway & Berwyn Ave,2,41.97836174750631,-87.6597878339302,7134
Broadway & Cornelia Ave,2,41.94552840081077,-87.64643946773724,19259
Broadway & Cuyler Ave,2,41.95541877157179,-87.65149971150598,1170
Broadway & Granville Ave,2,41.9947795962742,-87.66028499402587,6860
Broadway & Oakdale Ave,2,41.935580503932236,-87.64405067583995,5411
Broadway & Ridge Ave,2,41.984041878574764,-87.66027727072697,4862
Broadway & Roscoe Ave,2,41.943599763458096,-87.64532108510042,2410
Broadway & Sheridan Rd,0,41.95283268077001,-87.64999422435214,13402
Broadway & Sunnyside Ave,2,41.96341902977066,-87.65607075825712,3888
Broadway & Thorndale Ave,2,41.98974279839161,-87.66014068711502,6512
Broadway & Waveland Ave,0,41.94907444167851,-87.64863311753777,18517
Broadway & Wilson Ave,0,41.96522053250009,-87.65814442337324,9147
Buckingham Fountain,2,41.87072479895053,-87.62339136936582,9723
Budlong Woods Library,2,41.98366517995741,-87.69642279676066,689
Burling St & Armitage Ave,0,41.918076516156795,-87.64727891316956,861
Burling St & Diversey Pkwy,2,41.93313904672381,-87.64775980835115,10605
Burnham Harbor,2,41.85741291987519,-87.6137921258555,9143
California Ave & 21st St,2,41.853795939677404,-87.6958234495065,814
California Ave & Altgeld St,0,41.926688951929926,-87.69767199826735,3011
California Ave & Byron St,2,41.95216202534047,-87.6980512287402,2371
California Ave & Cortez St,0,41.90036335829616,-87.6967059493866,5031
California Ave & Division St,2,41.90302910217327,-87.69747531493965,3480
California Ave & Fletcher St,0,41.938429140431474,-87.69800850402565,2884
California Ave & Francis Pl,2,41.91849476448703,-87.69742592442758,4321
California Ave & Granville Ave,2,41.994175298459,-87.69954815026121,1183
California Ave & Lake St,1,41.88445394891974,-87.69629913043096,775
California Ave & Milwaukee Ave,0,41.92269419915788,-87.6971521132977,10356
California Ave & Montrose Ave,2,41.961068682817555,-87.6954395904305,3159
California Ave & North Ave,2,41.910042870968056,-87.69716611869121,3569
Calumet Ave & 18th St,2,41.85762017972308,-87.61941178313059,8563
Calumet Ave & 21st St,2,41.854179880049564,-87.61915409602963,4809
Calumet Ave & 33rd St,2,41.834744811612445,-87.6179637645855,3117
Calumet Ave & 35th St,2,41.83137913452848,-87.61803421956441,1141
Calumet Ave & 51st St,0,41.80229372949635,-87.61805385515929,570
Campbell Ave & Augusta Blvd,2,41.89957404446777,-87.68949599269139,2777
Campbell Ave & Fullerton Ave,0,41.92463298564294,-87.68930782157348,2180
Campbell Ave & Irving Park Rd,2,41.953632970233386,-87.69078278567099,617
Campbell Ave & Montrose Ave,2,41.961525343851086,-87.69117748682588,3331
Campbell Ave & North Ave,2,41.91053502421426,-87.6895561774512,5512
Canal St & Adams St,1,41.879255010528645,-87.63990713776106,20339
Canal St & Harrison St,1,41.874254666614355,-87.63957318513346,2982
Canal St & Jackson Blvd,1,41.878124531038644,-87.63996837475437,12548
Canal St & Lake St,1,41.885969450661925,-87.63999443850972,2109
Canal St & Madison St,1,41.88240429194181,-87.63976361693555,29078
Canal St & Monroe St,1,41.88290609435049,-87.63974136369576,10163
Canal St & Taylor St,2,41.87025631564066,-87.63947414677801,4973
Cannon Dr & Fullerton Ave,2,41.92675558536581,-87.6344294762607,4486
Carpenter St & Fulton St,1,41.88667952541149,-87.65315090388519,2465
Carpenter St & Huron St,2,41.89455585116803,-87.65344858319412,8433
Central Park Ave & Bloomingdale Ave,2,41.914165493207044,-87.71675645858096,2415
Central Park Ave & Elbridge Ave,0,41.93533765625092,-87.71688833958656,3212
Central Park Ave & North Ave,2,41.90965712395695,-87.71663324792003,1133
Central Park Ave & Ogden Ave,0,41.85406183626329,-87.71511739347922,660
Central St & Girard Ave,2,42.064312895812435,-87.68615191618557,997
Central St Metra,2,42.06360535647646,-87.69872877826975,1253
Cherry Ave & Blackhawk St,1,41.90722108418862,-87.65561889286623,1951
Chicago Ave & Sheridan Rd,2,42.05049090975958,-87.67782119053412,5611
Chicago Ave & Washington St,2,42.032567066072154,-87.67910361244519,2855
Christiana Ave & Lawrence Ave,0,41.9683548258517,-87.71183077422509,1937
Cityfront Plaza Dr & Pioneer Ct,2,41.89056724057825,-87.62207247286008,12901
Claremont Ave & Hirsch St,2,41.90777988725158,-87.68585661526511,2218
Clarendon Ave & Gordon Ter,2,41.95786558170317,-87.64950377387747,13240
Clarendon Ave & Junior Ter,2,41.961003588848634,-87.64959773808079,11513
Clarendon Ave & Leland Ave,2,41.967966590119076,-87.65000295243283,6811
Clark St & 9th St (AMLI),2,41.87081632755057,-87.63124104548672,4666
Clark St & Arlington Pl,2,41.92693829215246,-87.64148652885109,6487
